僵冷	jiang1'leng3
交媾	jiao1'gou4
教学相长	jiao4'xue2'xiang1'zhang3
结党营私	jie2'dang3'ying2'si1
结汇	jie2'hui4
解囊相助	jie3'nang2'xiang1'zhu4
金兰	jin1'lan2
金瓯	jin1'ou1
筋脉	jin1'mai4
锦绣前程	jin3'xiu4'qian2'cheng2
谨记	jin3'ji4
近照	jin4'zhao4
经销点	jing1'xiao1'dian3
精盐	jing1'yan2
精装本	jing1'zhuang1'ben3
倦容	juan4'rong2
橛子	jue2'zi3
开初	kai1'chu1
科贸	ke1'mao4
口外	kou3'wai4
困兽犹斗	kun4'shou4'you2'dou4
喇嘛教	la3'ma'jiao4
腊八粥	la4'ba1'zhou1
蜡丸	la4'wan2
赖皮	lai4'pi2
滥调	lan4'diao4
浪迹	lang4'ji4
醪糟	lao2'zao1
老大不小	lao3'da4'bu4'xiao3
老亲	lao3'qin1
乐不思蜀	le4'bu4'si1'shu3
冷柜	leng3'gui4
冷色	leng3'se4
立身处世	li4'shen1'chu3'shi4
怜恤	lian2'xu4
良辰	liang2'chen2
良辰美景	liang2'chen2'mei3'jing3
吝啬鬼	lin4'se4'gui3
溜号	liu1'hao4
柳梢	liu3'shao1
鹿死谁手	lu4'si3'shei2'shou3
卵生	luan3'sheng1
麻豆腐	ma2'dou4'fu
麦芽糖	mai4'ya2'tang2
盲肠炎	mang2'chang2'yan2
毛手毛脚	mao2'shou3'mao2'jiao3
毛织品	mao2'zhi1'pin3
眉目	mei2'mu4
弥缝	mi2'feng2
面糊	mian4'hu4
妙趣	miao4'qu4
妙药	miao4'yao4
摹本	mo2'ben3
母畜	mu3'chu4
牧工	mu4'gong1
内侄	nei4'zhi2
泥坯	ni2'pi1
年尾	nian2'wei3
牛仔服	niu2'zi3'fu2
扭结	niu3'jie2
脓疮	nong2'chuang1
攀折	pan1'zhe2
盘曲	pan2'qu1
配戏	pei4'xi4
漂游	piao1'you2
平步青云	ping2'bu4'qing1'yun2
破五	po4'wu3
破衣烂衫	po4'yi1'lan4'shan1
扑棱	pu1'leng
墙基	qiang2'ji1
侨商	qiao2'shang1
巧言令色	qiao3'yan2'ling4'se4
钦慕	qin1'mu4
亲眷	qin1'juan4
清寂	qing1'ji4
丘疹	qiu1'zhen3
求战	qiu2'zhan4
区徽	qu1'hui1
屈打成招	qu1'da3'cheng2'zhao1
屈就	qu1'jiu4
燃点	ran2'dian3
染发剂	ran3'fa1'ji4
软刀子	ruan3'dao1'zi3
三缄其口	san1'jian1'qi2'kou3
丧身	sang1'shen1
杀伐	sha1'fa2
砂糖	sha1'tang2
