闭路	bi4'lu4
编绘	bian1'hui4
表链	biao3'lian4
冰谷	bing1'gu3
兵火	bing1'huo3
兵戎	bing1'rong2
勃朗宁	bo2'lang3'ning2
补编	bu3'bian1
补遗	bu3'yi2
不过尔尔	bu4'guo4'er3'er3
不检	bu4'jian3
才分	cai2'fen4
财势	cai2'shi4
踩水	cai3'shui3
菜圃	cai4'pu3
菜团子	cai4'tuan2'zi3
菜心	cai4'xin1
残次	can2'ci4
残匪	can2'fei3
惨杀	can3'sha1
叉烧	cha1'shao1
茶食	cha2'shi
缠磨	chan2'mo
车马费	che1'ma3'fei4
衬裤	chen4'ku4
匙子	chi2'zi
齿冷	chi3'leng3
酬答	chou2'da2
筹借	chou2'jie4
臭味相投	chou4'wei4'xiang1'tou2
出典	chu1'dian3
传艺	chuan2'yi4
纯良	chun2'liang2
葱白儿	cong1'bai2'er
打包票	da3'bao1'piao4
大老婆	da4'lao3'po
弹壳	dan4'ke2
倒春寒	dao4'chun1'han2
倒转	dao4'zhuan4
道姑	dao4'gu1
稻秧	dao4'yang1
得陇望蜀	de2'long3'wang4'shu3
涤棉	di2'mian2
抵销	di3'xiao1
地核	di4'he2
地老天荒	di4'lao3'tian1'huang1
第二职业	di4'er4'zhi2'ye4
点收	dian3'shou1
电脉冲	dian4'mai4'chong1
雕版	diao1'ban3
吊祭	diao4'ji4
动力机	dong4'li4'ji1
冻馁	dong4'nei3
抖搂	dou3'lou
毒牙	du2'ya2
短打	duan3'da3
堆叠	dui1'die2
堆集	dui1'ji2
对换	dui4'huan4
对台戏	dui4'tai2'xi4
蹲坑	dun1'keng1
夺门而出	duo2'men2'er2'chu1
躲懒	duo3'lan3
俄罗斯族	e2'luo2'si1'zu2
耳福	er3'fu2
耳提面命	er3'ti2'mian4'ming4
发苦	fa1'ku3
幡然悔悟	fan1'ran2'hui3'wu4
反击战	fan3'ji1'zhan4
反目成仇	fan3'mu4'cheng2'chou2
犯困	fan4'kun4
肥嫩	fei2'nen4
肺心病	fei4'xin1'bing4
坟山	fen2'shan1
封官许愿	feng1'guan1'xu3'yuan4
疯疯癫癫	feng1'feng1'dian1'dian1
俯允	fu3'yun3
复航	fu4'hang2
复会	fu4'hui4
腹肌	fu4'ji1
概说	gai4'shuo1
钢鞭	gang1'bian1
搞鬼	gao3'gui3
告倒	gao4'dao3
告老还乡	gao4'lao3'huan2'xiang1
葛藤	ge2'teng2
姑丈	gu1'zhang4
鼓气	gu3'qi4
寡情	gua3'qing2
挂牵	gua4'qian1
乖张	guai1'zhang1
光可鉴人	guang1'ke3'jian4'ren2
闺阁	gui1'ge2
滚珠	gun3'zhu1
海货	hai3'huo4
含怒	han2'nu4
蒿子	hao1'zi3
合脚	he2'jiao3
横直	heng2'zhi2
红灯区	hong2'deng1'qu1
红棉	hong2'mian2
狐群狗党	hu2'qun2'gou3'dang3
虎口拔牙	hu3'kou3'ba2'ya2
花菜	hua1'cai4
花绸	hua1'chou2
花大姐	hua1'da4'jie3
化为泡影	hua4'wei2'pao4'ying3
画饼充饥	hua4'bing3'chong1'ji1
踝骨	huai2'gu3
黄教	huang2'jiao4
鳇鱼	huang2'yu2
回头路	hui2'tou2'lu4
彗核	hui4'he2
假正经	jia3'zheng4'jing
捡破烂儿	jian3'po4'lan4'er
金蝉脱壳	jin1'chan2'tuo1'qiao4
经意	jing1'yi4
精品店	jing1'pin3'dian4
精卫填海	jing1'wei4'tian2'hai3
劲风	jin4'feng1
菊花茶	ju2'hua1'cha2
举步	ju3'bu4
聚光	ju4'guang1
遽然	ju4'ran2
军犬	jun1'quan3
开涮	kai1'shuan4
渴念	ke3'nian4
坑木	keng1'mu4
空心菜	kong1'xin1'cai4
口出狂言	kou3'chu1'kuang2'yan2
快照	kuai4'zhao4
魁伟	kui2'wei3
辣椒酱	la4'jiao1'jiang4
懒虫	lan3'chong2
浪谷	lang4'gu3
老豆腐	lao3'dou4'fu3
累年	lei3'nian2
泪液	lei4'ye4
料及	liao4'ji2
零卖	ling2'mai4
令郎	ling4'lang2
留一手	liu2'yi1'shou3
留职	liu2'zhi2
垄沟	long3'gou1
马口铁	ma3'kou3'tie3
卖好	mai4'hao3
民脂民膏	min2'zhi1'min2'gao1
名产	ming2'chan3
明火执仗	ming2'huo3'zhi2'zhang4
鸣冤叫屈	ming2'yuan1'jiao4'qu1
冥府	ming2'fu3
仫佬族	mu4'lao3'zu2
拈花惹草	nian1'hua1're3'cao3
年资	nian2'zi1
念诵	nian4'song4
娘娘腔	niang2'niang2'qiang1
牛头马面	niu2'tou2'ma3'mian4
帕金森病	pa4'jin1'sen1'bing4
排忧	pai2'you1
陪床	pei2'chuang2
佩饰	pei4'shi4
破网	po4'wang3
奇案	qi2'an4
气口	qi4'kou3
抢亲	qiang3'qin1
琴弓	qin2'gong1
囚服	qiu2'fu2
权杖	quan2'zhang4
人定胜天	ren2'ding4'sheng4'tian1
入赘	ru4'zhui4
软乎乎	ruan3'hu1'hu1
软话	ruan3'hua4
赛点	sai4'dian3
色度	se4'du4
色拉	se4'la1
砂纸	sha1'zhi3
傻头傻脑	sha3'tou2'sha3'nao3
山嘴	shan1'zui3
上冻	shang4'dong4
上中农	shang4'zhong1'nong2
设障	she4'zhang4
神机妙算	shen2'ji1'miao4'suan4
始发站	shi3'fa1'zhan4
势不可当	shi4'bu4'ke3'dang1
收车	shou1'che1
熟化	shu2'hua4
熟能生巧	shu2'neng2'sheng1'qiao3
甩脱	shuai3'tuo1
栓子	shuan1'zi3
死脑筋	si3'nao3'jin1
四方脸	si4'fang1'lian3
四旁	si4'pang2
素常	su4'chang2
索价	suo3'jia4
探囊取物	tan4'nang2'qu3'wu4
讨价	tao3'jia4
套服	tao4'fu2
套购	tao4'gou4
提调	ti2'diao4
天怒人怨	tian1'nu4'ren2'yuan4
天外有天	tian1'wai4'you3'tian1
填房	tian2'fang2
跳闸	tiao4'zha2
铁交椅	tie3'jiao1'yi3
铜币	tong2'bi4
统属	tong3'shu3
涂饰	tu2'shi4
土皇帝	tu3'huang2'di4
土造	tu3'zao4
枉费心机	wang3'fei4'xin1'ji1
文气	wen2'qi
文戏	wen2'xi4
细活儿	xi4'huo2'er
下操	xia4'cao1
先来后到	xian1'lai2'hou4'dao4
线袜	xian4'wa4
相乘	xiang1'cheng2
相瞒	xiang1'man2
湘妃竹	xiang1'fei1'zhu2
像话	xiang4'hua4
淆乱	xiao2'luan4
小产	xiao3'chan3
小满	xiao3'man3
心黑	xin1'hei1
新来乍到	xin1'lai2'zha4'dao4
绣制	xiu4'zhi4
悬崖绝壁	xuan2'ya2'jue2'bi4
血块	xue4'kuai4
寻根究底	xun2'gen1'jiu1'di3
寻见	xun2'jian4
寻声	xun2'sheng1
寻踪	xun2'zong1
驯兽	xun4'shou4
压腿	ya1'tui3
烟霞	yan1'xia2
鼹鼠	yan3'shu3
艳装	yan4'zhuang1
野蔷薇	ye3'qiang2'wei1
一品红	yi1'pin3'hong2
夷灭	yi2'mie4
以貌取人	yi3'mao4'qu3'ren2
佚名	yi4'ming2
译注	yi4'zhu4
