徒劳无功	tu2'lao2'wu2'gong1
土坷垃	tu3'ke1'la1
推子	tui1'zi3
托子	tuo1'zi3
拖布	tuo1'bu4
顽敌	wan2'di2
晚班	wan3'ban1
晚场	wan3'chang3
妄谈	wang4'tan2
威迫	wei1'po4
窝边草	wo1'bian1'cao3
物是人非	wu4'shi4'ren2'fei1
锡伯族	xi1'bo2'zu2
洗濯	xi3'zhuo2
纤维板	xian1'wei2'ban3
小聚	xiao3'ju4
小考	xiao3'kao3
小令	xiao3'ling4
孝廉	xiao4'lian2
欣幸	xin1'xing4
新殖民主义	xin1'zhi2'min2'zhu3'yi4
信从	xin4'cong2
信天翁	xin4'tian1'weng1
凶相毕露	xiong1'xiang1'bi4'lu4
虚掷	xu1'zhi4
掩鼻	yan3'bi2
宴客	yan4'ke4
要津	yao4'jin1
一鼻孔出气	yi1'bi2'kong3'chu1'qi4
一脉相传	yi1'mai4'xiang1'chuan2
一者	yi1'zhe3
衣冠冢	yi1'guan1'zhong3
移防	yi2'fang2
益虫	yi4'chong2
鹦鹉螺	ying1'wu3'luo2
应诺	ying4'nuo4
悠哉游哉	you1'zai1'you2'zai1
柚木	you2'mu4
预产期	yu4'chan3'qi1
园陵	yuan2'ling2
园圃	yuan2'pu3
约数	yue1'shu4
杂牌军	za2'pai2'jun1
造谣中伤	zao4'yao2'zhong4'shang1
择善而从	ze2'shan4'er2'cong2
谵语	zhan1'yu3
着数	zhao1'shu4
照临	zhao4'lin2
鸩毒	zhen4'du2
镇流器	zhen4'liu2'qi4
政制	zheng4'zhi4
芝麻油	zhi1'ma'you2
指画	zhi3'hua4
指证	zhi3'zheng4
衷曲	zhong1'qu1
周延	zhou1'yan2
主唱	zhu3'chang4
助理工程师	zhu4'li3'gong1'cheng2'shi1
准数	zhun3'shu4
宗谱	zong1'pu3
总校	zong3'xiao4
走马看花	zou3'ma3'kan4'hua1
坐江山	zuo4'jiang1'shan1
坐井观天	zuo4'jing3'guan1'tian1
哀戚	ai1'qi1
爱称	ai4'cheng1
八字步	ba1'zi4'bu4
把盏	ba3'zhan3
白兰瓜	bai2'lan2'gua1
摆摊儿	bai3'tan1'er2
拜服	bai4'fu2
稗草	bai4'cao3
帮倒忙	bang1'dao4'mang2
包场	bao1'chang3
保温杯	bao3'wen1'bei1
悲啼	bei1'ti2
北方话	bei3'fang1'hua4
备品	bei4'pin3
庇佑	bi4'you4
波谱	bo1'pu3
播扬	bo1'yang2
不知就里	bu4'zhi1'jiu4'li3
苍郁	cang1'yu4
糙米	cao1'mi3
柴垛	chai2'duo3
谄笑	chan3'xiao4
长袖善舞	chang2'xiu4'shan4'wu3
唱盘	chang4'pan2
抄报	chao1'bao4
炒汇	chao3'hui4
沉冤	chen2'yuan1
持球	chi2'qiu2
冲程	chong1'cheng2
冲抵	chong1'di3
冲销	chong1'xiao1
冲澡	chong1'zao3
重檐	zhong4'yan2
处理品	chu3'li3'pin3
触痛	chu4'tong4
穿孝	chuan1'xiao4
垂吊	chui2'diao4
词源	ci2'yuan2
丛山	cong2'shan1
粗粝	cu1'li4
崔嵬	cui1'wei2
打点滴	da3'dian3'di1
打桩机	da3'zhuang1'ji1
大本	da4'ben3
大放厥词	da4'fang4'jue2'ci2
大姑子	da4'gu1'zi
代培	dai4'pei2
蛋清	dan4'qing1
导购	dao3'gou4
灯管	deng1'guan3
点炮	dian3'pao4
点穴	dian3'xue2
电子秤	dian4'zi3'cheng4
电钻	dian4'zuan4
刁钻古怪	diao1'zuan1'gu3'guai4
钓鱼竿	diao4'yu2'gan1
调职	diao4'zhi2
丁零	ding1'ling2
东挪西借	dong1'nuo2'xi1'jie4
东乡族	dong1'xiang1'zu2
动迁户	dong4'qian1'hu4
陡直	dou3'zhi2
对味儿	dui4'wei4'er
垛口	duo3'kou3
腭裂	e4'lie4
二拇指	er4'mu3'zhi3
发水	fa1'shui3
发胶	fa4'jiao1
发妻	fa4'qi1
翻沉	fan1'chen2
防化兵	fang2'hua4'bing1
防空壕	fang2'kong1'hao2
防疫针	fang2'yi4'zhen1
飞弹	fei1'dan4
飞舟	fei1'zhou1
分列式	fen1'lie4'shi4
奉若神明	feng4'ruo4'shen2'ming2
拂尘	fu2'chen2
服膺	fu2'ying1
俘敌	fu2'di2
杠头	gang4'tou2
高栏	gao1'lan2
高视阔步	gao1'shi4'kuo4'bu4
膏血	gao1'xue4
膏腴	gao1'yu2
歌诀	ge1'jue2
隔房	ge2'fang2
工巧	gong1'qiao3
公之于世	gong1'zhi1'yu2'shi4
共居	gong4'ju1
够受的	gou4'shou4'de
刮刀	gua1'dao1
寡淡	gua3'dan4
灌酒	guan4'jiu3
