进修生	jin4'xiu1'sheng1
浸淫	jin4'yin2
净胜	jing4'sheng4
九头鸟	jiu3'tou2'niao3
酒醉	jiu3'zui4
雎鸠	ju1'jiu1
卷轴	juan4'zhou2
戡乱	kan1'luan4
侃大山	kan3'da4'shan1
考订	kao3'ding4
坑口	keng1'kou3
空炮	kong1'pao4
口头文学	kou3'tou2'wen2'xue2
拉杂	la1'za2
癞皮狗	lai4'pi2'gou3
蓝牙技术	lan2'ya2'ji4'shu4
劳动布	lao2'dong4'bu4
老熟人	lao3'shu2'ren2
离席	li2'xi2
礼佛	li3'fo2
了了	liao3'liao3
灵台	ling2'tai2
灵长目	ling2'zhang3'mu4
刘海儿	liu2'hai3'er
露马脚	lou4'ma3'jiao3
芦柴	lu2'chai2
伦常	lun2'chang2
螺纹钢	luo2'wen2'gang1
螺旋式	luo2'xuan2'shi4
马圈	ma3'quan1
买空卖空	mai3'kong1'mai4'kong1
满期	man3'qi1
幔帐	man4'zhang4
毛玻璃	mao2'bo1'li2
没谱儿	mei2'pu3'er
盟兄弟	meng2'xiong1'di4
棉桃	mian2'tao2
冥币	ming2'bi4
摸高	mo1'gao1
魔杖	mo2'zhang4
木模	mu4'mo2
捏把汗	nie1'ba3'han4
怒形于色	nu4'xing2'yu2'se4
偶合	ou3'he2
排难解纷	pai2'nan4'jie3'fen1
旁门左道	pang2'men2'zuo3'dao4
胖嘟嘟	pang4'du1'du1
庖厨	pao2'chu2
跑买卖	pao3'mai3'mai
捧腹	peng3'fu4
偏听偏信	pian1'ting1'pian1'xin4
拼音文字	pin1'yin1'wen2'zi4
扑粉	pu1'fen3
扑满	pu1'man3
七拼八凑	qi1'pin1'ba1'cou4
期年	qi1'nian2
欺生	qi1'sheng1
耆宿	qi2'su4
棋路	qi2'lu4
千赫	qian1'he4
迁离	qian1'li2
前俯后仰	qian2'fu3'hou4'yang3
轻侮	qing1'wu3
清样	qing1'yang4
清逸	qing1'yi4
庆大霉素	qing4'da4'mei2'su4
求签	qiu2'qian1
趋时	qu1'shi2
取之于民，用之于民	qu3'zhi1'yu2'min2'yong4'zhi1'yu2'min2
权宜	quan2'yi2
乳胶漆	ru3'jiao1'qi1
入伏	ru4'fu2
软席	ruan3'xi2
软硬不吃	ruan3'ying4'bu4'chi1
赛球	sai4'qiu2
三叉戟	san1'cha1'ji3
三脚架	san1'jiao3'jia4
散亡	san4'wang2
色笔	se4'bi3
疝气	shan4'qi4
上吐下泻	shang4'tu3'xia4'xie4
奢谈	she1'tan2
尸位素餐	shi1'wei4'su4'can1
石锁	shi2'suo3
时文	shi2'wen2
实报实销	shi2'bao4'shi2'xiao1
实心眼儿	shi2'xin1'yan3'er
手黑	shou3'hei1
疏懒	shu1'lan3
逃婚	tao2'hun1
陶土	tao2'tu3
特务	te4'wu4
藤子	teng2'zi3
题型	ti2'xing2
剃头刀	ti4'tou2'dao1
天壤	tian1'rang3
天塌地陷	tian1'ta1'di4'xian4
贴饼子	tie1'bing3'zi3
彤红	tong2'hong2
统编	tong3'bian1
偷空	tou1'kong4
头纱	tou2'sha1
投桃报李	tou2'tao2'bao4'li3
图谋不轨	tu2'mou2'bu4'gui3
推普	tui1'pu3
托庇	tuo1'bi4
拖后腿	tuo1'hou4'tui3
坨子	tuo2'zi3
驼色	tuo2'se4
挖土机	wa1'tu3'ji1
万儿八千	wan4'er'ba1'qian1
圩堤	wei2'di1
温酒	wen1'jiu3
文蛤	wen2'ge2
稳拿	wen3'na2
握手言欢	wo4'shou3'yan2'huan1
五洲四海	wu3'zhou1'si4'hai3
习尚	xi2'shang4
细腰蜂	xi4'yao1'feng1
险固	xian3'gu4
线路板	xian4'lu4'ban3
线路图	xian4'lu4'tu2
详略	xiang2'lve4
小修	xiao3'xiu1
鞋样	xie2'yang4
心怀叵测	xin1'huai2'po3'ce4
新郎官	xin1'lang2'guan1
休书	xiu1'shu1
徐缓	xu2'huan3
续会	xu4'hui4
续聘	xu4'pin4
选辑	xuan3'ji2
学生腔	xue2'sheng1'qiang1
血尿	xue4'niao4
寻味	xun2'wei4
酽茶	yan4'cha2
燕雀	yan4'que4
杨木	yang2'mu4
养汉	yang3'han4
吆五喝六	yao1'wu3'he4'liu4
哟嗬	yo1'he1
遥祝	yao2'zhu4
药补	yao4'bu3
夜曲	ye4'qu3
衣冠禽兽	yi1'guan1'qin2'shou4
怡人	yi2'ren2
译码	yi4'ma3
音程	yin1'cheng2
音画	yin1'hua4
印泥	yin4'ni2
应声虫	ying4'sheng1'chong2
应诊	ying4'zhen3
硬任务	ying4'ren4'wu4
用典	yong4'dian3
幼师	you4'shi1
余毒	yu2'du2
杂拌儿	za2'ban4'er
杂用	za2'yong4
在所不辞	zai4'suo3'bu4'ci2
仗势	zhang4'shi4
招风	zhao1'feng1
招灾	zhao1'zai1
朝发夕至	zhao1'fa1'xi1'zhi4
照护	zhao4'hu4
罩袍	zhao4'pao2
遮断	zhe1'duan4
这么点儿	zhe4'me'dian3'er
蒸锅	zheng1'guo1
证明信	zheng4'ming2'xin4
织品	zhi1'pin3
至善至美	zhi4'shan4'zhi4'mei3
滞胀	zhi4'zhang4
忠言逆耳	zhong1'yan2'ni4'er3
众怒难犯	zhong4'nu4'nan2'fan4
种痘	zhong4'dou4
主粮	zhu3'liang2
赘言	zhui4'yan2
擢用	zhuo2'yong4
龇牙	zi1'ya2
紫貂	zi3'diao1
自轻自贱	zi4'qing1'zi4'jian4
字符集	zi4'fu2'ji2
棕红	zong1'hong2
祖庙	zu3'miao4
祖母绿	zu3'mu3'lv4
佐餐	zuo3'can1
做人情	zuo4'ren2'qing2
爱屋及乌	ai4'wu1'ji2'wu1
八宝饭	ba1'bao3'fan4
吧唧	ba1'ji1
拔步	ba2'bu4
白板	bai2'ban3
膀臂	bang3'bi4
报单	bao4'dan1
北极狐	bei3'ji2'hu2
被覆	bei4'fu4
摈斥	bin4'chi4
冰袋	bing1'dai4
兵谏	bing1'jian4
兵制	bing1'zhi4
播散	bo1'san4
薄礼	bo2'li3
卜辞	bu3'ci2
不二法门	bu4'er4'fa3'men2
苍绿	cang1'lv4
草台班子	cao3'tai2'ban1'zi
产床	chan3'chuang2
