报话机	bao4'hua4'ji1
崩盘	beng1'pan2
鼻翅	bi2'chi4
笔势	bi3'shi4
边检	bian1'jian3
编结	bian1'jie2
辩诬	bian4'wu1
别无二致	bie2'wu2'er4'zhi4
菠萝蜜	bo1'luo2'mi4
薄利	bo2'li4
补台	bu3'tai2
残旧	can2'jiu4
惨变	can3'bian4
苍莽	cang1'mang3
藏头露尾	cang2'tou2'lu4'wei3
草寇	cao3'kou4
草窝	cao3'wo1
杈子	cha4'zi
长话短说	chang2'hua4'duan3'shuo1
长舌妇	chang2'she2'fu4
长吟	chang2'yin2
场屋	chang2'wu1
超豪华	chao1'hao2'hua2
吵人	chao3'ren2
成服	cheng2'fu2
乘龙快婿	cheng2'long2'kuai4'xu4
程序控制	cheng2'xu4'kong4'zhi4
澄碧	cheng2'bi4
重出	chong2'chu1
抽吸	chou1'xi1
穿小鞋	chuan1'xiao3'xie2
传种	chuan2'zhong3
船桅	chuan2'wei2
垂爱	chui2'ai4
垂暮之年	chui2'mu4'zhi1'nian2
垂涎欲滴	chui2'xian2'yu4'di1
蹙额	cu4'e2
村夫	cun1'fu1
痤疮	cuo2'chuang1
错讹	cuo4'e2
大而化之	da4'er2'hua4'zhi1
大呼隆	da4'hu1'long2
大碗儿茶	da4'wan3'er2'cha2
大我	da4'wo3
倒垂	dao3'chui2
得便	de2'bian4
登陆艇	deng1'lu4'ting3
低利	di1'li4
低眉顺眼	di1'mei2'shun4'yan3
递条子	di4'tiao2'zi
电子音乐	dian4'zi3'yin1'yue4
垫背	dian4'bei4
动粗	dong4'cu1
端砚	duan1'yan4
躲债	duo3'zhai4
额手称庆	e2'shou3'cheng1'qing4
饿殍	e4'piao3
耳孔	er3'kong3
二副	er4'fu4
法衣	fa3'yi1
翻拍	fan1'pai1
凡尘	fan2'chen2
分群	fen1'qun2
粉扑儿	fen3'pu1'er
风油精	feng1'you2'jing1
服丧	fu2'sang1
俯察	fu3'cha2
赶海	gan3'hai3
钢化玻璃	gang1'hua4'bo1'li2
缸盖	gang1'gai4
隔墙有耳	ge2'qiang2'you3'er3
各持己见	ge4'chi2'ji3'jian4
跟从	gen1'cong2
攻擂	gong1'lei2
供应点	gong1'ying4'dian3
宫刑	gong1'xing2
狗头军师	gou3'tou2'jun1'shi1
狗咬狗	gou3'yao3'gou3
诟骂	gou4'ma4
古谚	gu3'yan4
骨刺	gu3'ci4
瓜瓤	gua1'rang2
挂一漏万	gua4'yi1'lou4'wan4
怪论	guai4'lun4
官差	guan1'chai1
官倒	guan1'dao3
光标	guang1'biao1
果仁	guo3'ren2
好人家	hao3'ren2'jia1
好说话	hao3'shuo1'hua4
号头	hao4'tou2
浩叹	hao4'tan4
和婉	he2'wan3
黑热病	hei1're4'bing4
黑竹	hei1'zhu2
横队	heng2'dui4
红运	hong2'yun4
花柳病	hua1'liu3'bing4
坏种	huai4'zhong3
欢闹	huan1'nao4
灰不溜秋	hui1'bu4'liu1'qiu1
鸡零狗碎	ji1'ling2'gou3'sui4
鸡犬不留	ji1'quan3'bu4'liu2
缉凶	ji1'xiong1
吉星	ji2'xing1
冀望	ji4'wang4
加时赛	jia1'shi2'sai4
假模假式	jia3'mo'jia3'shi4
奸恶	jian1'e4
减亏增盈	jian3'kui1'zeng1'ying2
简谱	jian3'pu3
见景生情	jian4'jing3'sheng1'qing2
剑锋	jian4'feng1
江豚	jiang1'tun2
节礼	jie2'li3
劫后余生	jie2'hou4'yu2'sheng1
解疑	jie3'yi2
仅够	jin3'gou4
禁忌症	jin4'ji4'zheng4
禁售	jin4'shou4
净重	jing4'zhong4
静园	jing4'yuan2
酒劲	jiu3'jin4
