特惠	te4'hui4
添色	tian1'se4
调幅	tiao2'fu2
通匪	tong1'fei3
同生共死	tong2'sheng1'gong4'si3
铜版画	tong2'ban3'hua4
痛恶	tong4'wu4
投亲	tou2'qin1
退亲	tui4'qin1
吞金	tun1'jin1
外功	wai4'gong1
玩花样	wan2'hua1'yang4
玩火自焚	wan2'huo3'zi4'fen2
微寒	wei1'han2
违逆	wei2'ni4
围屏	wei2'ping2
尉官	wei4'guan1
温书	wen1'shu1
涡轮机	wo1'lun2'ji1
乌鱼	wu1'yu2
五子棋	wu3'zi3'qi2
物伤其类	wu4'shang1'qi2'lei4
锡剧	xi1'ju4
戏曲片	xi4'qu3'pian4
侠气	xia2'qi4
纤维瘤	xian1'wei2'liu2
咸水湖	xian2'shui3'hu2
现世报	xian4'shi4'bao4
相扰	xiang1'rao3
香茗	xiang1'ming2
硝化甘油	xiao1'hua4'gan1'you2
小炒	xiao3'chao3
小年轻	xiao3'nian2'qing1
笑面虎	xiao4'mian4'hu3
泄洪道	xie4'hong2'dao4
谢客	xie4'ke4
星散	xing1'san4
星图	xing1'tu2
惺惺惜惺惺	xing1'xing1'xi1'xing1'xing1
腥膻	xing1'shan1
行劫	xing2'jie2
省察	xing3'cha2
绣花枕头	xiu4'hua1'zhen3'tou2
轩敞	xuan1'chang3
选贤任能	xuan3'xian2'ren4'neng2
鸭嘴兽	ya1'zui3'shou4
言笑	yan2'xiao4
言之无物	yan2'zhi1'wu2'wu4
眼压	yan3'ya1
要诀	yao4'jue2
一清二白	yi1'qing1'er4'bai2
一物降一物	yi1'wu4'xiang2'yi1'wu4
一展身手	yi1'zhan3'shen1'shou3
衣钩	yi1'gou1
医理	yi1'li3
以卵击石	yi3'luan3'ji1'shi2
议购	yi4'gou4
异文	yi4'wen2
译制片	yi4'zhi4'pian4
意在言外	yi4'zai4'yan2'wai4
银须	yin2'xu1
硬顶	ying4'ding3
幽径	you1'jing4
邮袋	you2'dai4
油罐车	you2'guan4'che1
有闻必录	you3'wen2'bi4'lu4
诱引	you4'yin3
语言关	yu3'yan2'guan1
郁愤	yu4'fen4
预征	yu4'zheng1
