重峦叠嶂	chong2'luan2'die2'zhang4
出亡	chu1'wang2
雏妓	chu2'ji4
穿甲弹	chuan1'jia3'dan4
船位	chuan2'wei4
串供	chuan4'gong4
春景	chun1'jing3
词频	ci2'pin2
刺参	ci4'can1
脆嫩	cui4'nen4
打卤面	da3'lu3'mian4
打埋伏	da3'mai2'fu
打气筒	da3'qi4'tong3
大面儿	da4'mian4'er
大秋	da4'qiu1
大尉	da4'wei4
单元楼	dan1'yuan2'lou2
当日	dang1'ri4
倒阁	dao3'ge2
得其所哉	de2'qi2'suo3'zai1
敌酋	di2'qiu2
抵补	di3'bu3
地灵人杰	di4'ling2'ren2'jie2
地窨子	di4'yin4'zi
点种	dian3'zhong4
电唱机	dian4'chang4'ji1
电疗	dian4'liao2
调包;掉包	diao4'bao1
定销	ding4'xiao1
定影	ding4'ying3
定准	ding4'zhun3
丢三落四	diu1'san1'la4'si4
丢卒保车	diu1'zu2'bao3'ju1
冬寒	dong1'han2
冻冰	dong4'bing1
毒菌	du2'jun1
毒焰	du2'yan4
蠹虫	du4'chong2
端重	duan1'zhong4
多吃多占	duo1'chi1'duo1'zhan4
鹅毛扇	e2'mao2'shan4
耳报神	er3'bao4'shen2
二花脸	er4'hua1'lian3
翻斗车	fan1'dou3'che1
翻覆	fan1'fu4
凡庸	fan2'yong1
反坐	fan3'zuo4
返聘	fan3'pin4
返销粮	fan3'xiao1'liang2
匪患	fei3'huan4
狒狒	fei4'fei4
分利	fen1'li4
浮子	fu2'zi3
复印纸	fu4'yin4'zhi3
副伤寒	fu4'shang1'han2
覆水难收	fu4'shui3'nan2'shou1
干连	gan1'lian2
赶浪头	gan3'lang4'tou2
赶先进	gan3'xian1'jin4
感愤	gan3'fen4
纲举目张	gang1'ju3'mu4'zhang1
高丽参	gao1'li2'can1
耕织	geng1'zhi1
羹匙	geng1'chi2
哽噎	geng3'ye1
公方	gong1'fang1
攻城略地	gong1'cheng2'lue4'di4
咕噜	gu1'lu
呱呱落地	gu1'gu1'luo4'de
姑妄言之	gu1'wang4'yan2'zhi1
故伎;故技	gu4'ji4
雇佣兵	gu4'yong1'bing1
瓜藤	gua1'teng2
瓜子儿脸	gua1'zi3'er2'lian3
挂表	gua4'biao3
挂锁	gua4'suo3
光控	guang1'kong4
光溜	guang1'liu
海禁	hai3'jin4
海蓝	hai3'lan2
海洋权	hai3'yang2'quan2
含怨	han2'yuan4
寒蝉	han2'chan2
寒鸦	han2'ya1
豪语	hao2'yu3
合口	he2'kou3
河南梆子	he2'nan2'bang1'zi
河南坠子	he2'nan2'zhui4'zi
红焖	hong2'men4
洪炉	hong2'lu2
后魏	hou4'wei4
胡蜂	hu2'feng1
虎气	hu3'qi4
怙恶不悛	hu4'e4'bu4'quan1
花托	hua1'tuo1
华胄	hua2'zhou4
华族	hua2'zu2
画苑	hua4'yuan4
缓办	huan3'ban4
荒诞无稽	huang1'dan4'wu2'ji1
黄灯	huang2'deng1
黄酱	huang2'jiang4
黄梨	huang2'li2
黄鼬	huang2'you4
惶遽	huang2'ju4
灰沉沉	hui1'chen2'chen2
会道门	hui4'dao4'men2
惠顾	hui4'gu4
活地图	huo2'di4'tu2
活罪	huo2'zui4
挤牙膏	ji3'ya2'gao1
家景	jia1'jing3
尖嘴猴腮	jian1'zui3'hou2'sai1
间不容发	jian1'bu4'rong2'fa4
犍牛	jian1'niu2
简括	jian3'kuo4
箭镞	jian4'zu2
交电	jiao1'dian4
狡兔三窟	jiao3'tu4'san1'ku1
借词	jie4'ci2
借势	jie4'shi4
进益	jin4'yi4
精忠	jing1'zhong1
