削面	xiao1'mian4
销蚀	xiao1'shi2
小刀会	xiao3'dao1'hui4
晓市	xiao3'shi4
晓事	xiao3'shi4
泻肚	xie4'du4
卸磨杀驴	xie4'mo4'sha1'lv2
凶气	xiong1'qi4
雄黄酒	xiong2'huang2'jiu3
雄威	xiong2'wei1
熊胆	xiong2'dan3
羞臊	xiu1'sao4
锈斑	xiu4'ban1
絮烦	xu4'fan2
喧扰	xuan1'rao3
玄鸟	xuan2'niao3
穴道	xue2'dao4
学而不厌	xue2'er2'bu4'yan4
雪藏	xue3'cang2
血证	xue4'zheng4
熏鸡	xun1'ji1
鸭绒被	ya1'rong2'bei4
哑场	ya3'chang3
胭脂红	yan1'zhi1'hong2
言无二价	yan2'wu2'er4'jia4
眼生	yan3'sheng1
艳闻	yan4'wen2
阳离子	yang2'li2'zi3
仰人鼻息	yang3'ren2'bi2'xi1
妖法	yao1'fa3
要目	yao4'mu4
要则	yao4'ze2
夜大学	ye4'da4'xue2
一贯道	yi1'guan4'dao4
一心一德	yi1'xin1'yi1'de2
遗害	yi2'hai4
遗墨	yi2'mo4
译电	yi4'dian4
易燃物	yi4'ran2'wu4
意气相投	yi4'qi4'xiang1'tou2
音区	yin1'qu1
银环蛇	yin2'huan2'she2
隐疾	yin3'ji2
萤石	ying2'shi2
佣钱	yong4'qian
幽咽	you1'ye4
油酥	you2'su1
鱼漂	yu2'piao1
玉洁冰清	yu4'jie2'bing1'qing1
原案	yuan2'an4
圆房	yuan2'fang2
月工	yue4'gong1
杂肥	za2'fei2
在所不计	zai4'suo3'bu4'ji4
藻井	zao3'jing3
贼窝	zei2'wo1
扎啤	zha1'pi2
占星术	zhan1'xing1'shu4
展柜	zhan3'gui4
折冲	zhe2'chong1
折中主义	zhe2'zhong1'zhu3'yi4
赭石	zhe3'shi2
针管	zhen1'guan3
珍闻	zhen1'wen2
整垮	zheng3'kua3
正座	zheng4'zuo4
知人论世	zhi1'ren2'lun4'shi4
脂油	zhi1'you2
直接经验	zhi2'jie1'jing1'yan4
直溜	zhi2'liu
直眉瞪眼	zhi2'mei2'deng4'yan3
置辩	zhi4'bian4
中药店	zhong1'yao4'dian4
珠蚌	zhu1'bang4
贮量	zhu4'liang4
铸工	zhu4'gong1
转关系	zhuan3'guan1'xi
壮工	zhuang4'gong1
籽实	zi3'shi2
自流灌溉	zi4'liu2'guan4'gai4
字模	zi4'mu2
组合家具	zu3'he2'jia1'ju4
嘴紧	zui3'jin3
坐机关	zuo4'ji1'guan1
柞蚕	zuo4'can2
座号	zuo4'hao4
暗锁	an4'suo3
拔火罐	ba2'huo3'guan4
把风	ba3'feng1
把牢	ba3'lao2
白报纸	bai2'bao4'zhi3
白璧微瑕	bai2'bi4'wei1'xia2
白厅	bai2'ting1
百口莫辩	bai3'kou3'mo4'bian4
拌料	ban4'liao4
胞衣	bao1'yi1
暴饮暴食	bao4'yin3'bao4'shi2
悲咽	bei1'ye4
背静	bei4'jing
本事	ben3'shi4
髌骨	bin4'gu3
冰砖	bing1'zhuan1
兵油子	bing1'you2'zi3
丙纶	bing3'lun2
病秧子	bing4'yang1'zi3
簸荡	bo3'dang4
簸箩	bo3'luo
补剂	bu3'ji4
不对味儿	bu4'dui4'wei4'er
不见经传	bu4'jian4'jing1'zhuan4
财迷心窍	cai2'mi2'xin1'qiao4
裁断	cai2'duan4
彩扩	cai3'kuo4
残棋	can2'qi2
残渣余孽	can2'zha1'yu2'nie4
草驴	cao3'lv2
测谎仪	ce4'huang3'yi2
插空	cha1'kong4
插身	cha1'shen1
查哨	cha2'shao4
长命锁	chang2'ming4'suo3
唱白脸	chang4'bai2'lian3
炒青	chao3'qing1
车轱辘话	che1'gu1'lu'hua4
沉鱼落雁	chen2'yu2'luo4'yan4
衬映	chen4'ying4
称便	cheng1'bian4
称述	cheng1'shu4
诚笃	cheng2'du3
诚招	cheng2'zhao1
吃不透	chi1'bu4'tou4
重起炉灶	chong2'qi3'lu2'zao4
丑星	chou3'xing1
初诊	chu1'zhen3
传名	chuan2'ming2
疮痍满目	chuang1'yi2'man3'mu4
创牌子	chuang4'pai2'zi
春汛	chun1'xun4
蠢材	chun3'cai2
催命鬼	cui1'ming4'gui3
村容	cun1'rong2
存照	cun2'zhao4
打冷战	da3'leng3'zhan
歹念	dai3'nian4
丹毒	dan1'du2
弹子房	dan4'zi'fang2
党票	dang3'piao4
刀削面	dao1'xiao1'mian4
导因	dao3'yin1
盗劫	dao4'jie2
等份	deng3'fen4
敌境	di2'jing4
涤除	di2'chu2
底册	di3'ce4
底端	di3'duan1
底火	di3'huo3
电力网	dian4'li4'wang3
电磨	dian4'mo2
殿军	dian4'jun1
丢饭碗	diu1'fan4'wan3
丢眼色	diu1'yan3'se4
冬藏	dong1'cang2
冬菇	dong1'gu1
斗心眼儿	dou4'xin1'yan3'er
豆粉	dou4'fen3
短装	duan3'zhuang1
对举	dui4'ju3
多元论	duo1'yuan2'lun4
耳屎	er3'shi3
二鬼子	er4'gui3'zi3
烦请	fan2'qing3
繁冗	fan2'rong3
犯急	fan4'ji2
泛泛而谈	fan4'fan4'er2'tan2
访寻	fang3'xun2
放像机	fang4'xiang4'ji1
肥土	fei2'tu3
废铜烂铁	fei4'tong2'lan4'tie3
分句	fen1'ju4
风镜	feng1'jing4
封火	feng1'huo3
敷陈	fu1'chen2
扶手椅	fu2'shou3'yi3
浮动工资	fu2'dong4'gong1'zi1
浮名	fu2'ming2
改嘴	gai3'zui3
概观	gai4'guan1
干馏	gan1'liu2
