正体	zheng4'ti3
直筒子	zhi2'tong3'zi3
中允	zhong1'yun3
钟鸣鼎食	zhong1'ming2'ding3'shi2
种瓜得瓜，种豆得豆	zhong4'gua1'de2'gua1'zhong4'dou4'de2'dou4
茱萸	zhu1'yu2
主文	zhu3'wen2
柱廊	zhu4'lang2
抓斗	zhua1'dou3
专名	zhuan1'ming2
篆体	zhuan4'ti3
子息	zi3'xi1
紫药水	zi3'yao4'shui3
自肥	zi4'fei2
棕黑	zong1'hei1
遵嘱	zun1'zhu3
佐理	zuo3'li3
坐观成败	zuo4'guan1'cheng2'bai4
按脉	an4'mai4
凹版	ao1'ban3
半中腰	ban4'zhong1'yao1
梆硬	bang1'ying4
包心菜	bao1'xin1'cai4
宝盖儿	bao3'gai4'er2
保安族	bao3'an1'zu2
爆炸力	bao4'zha4'li4
备饭	bei4'fan4
本字	ben3'zi4
逼供信	bi1'gong4'xin4
笔体	bi3'ti3
笔洗	bi3'xi3
避雷器	bi4'lei2'qi4
边防哨	bian1'fang2'shao4
边务	bian1'wu4
砭骨	bian1'gu3
蝙蝠衫	bian1'fu2'shan1
便利店	bian4'li4'dian4
辩护士	bian4'hu4'shi4
表记	biao3'ji4
别绪	bie2'xu4
秉正	bing3'zheng4
拨发	bo1'fa1
部头	bu4'tou2
踩道	cai3'dao4
藏掖	cang2'ye1
草菇	cao3'gu1
缠结	chan2'jie2
畅想曲	chang4'xiang3'qu3
抄件	chao1'jian4
超短波	chao1'duan3'bo1
潮汐能	chao2'xi1'neng2
车模	che1'mo2
成精	cheng2'jing1
吃儿	chi1'er
吃小灶	chi1'xiao3'zao4
赤露	chi4'lu4
重影	chong2'ying3
处暑	chu3'shu3
川贝	chuan1'bei4
串讲	chuan4'jiang3
串游	chuan4'you
唇吻	chun2'wen3
词牌	ci2'pai2
瓷窑	ci2'yao2
辞章	ci2'zhang1
慈颜	ci2'yan2
凑拢	cou4'long3
搭扣	da1'kou4
打食	da3'shi2
打通关	da3'tong1'guan1
大轰大嗡	da4'hong1'da4'weng1
大叶杨	da4'ye4'yang2
待聘	dai4'pin4
单句	dan1'ju4
淡妆浓抹	dan4'zhuang1'nong2'mo3
倒找	dao4'zhao3
得亏	dei3'kui1
等外品	deng3'wai4'pin3
嫡长子	di2'zhang3'zi3
地埂	di4'geng3
地脚	di4'jiao3
地震棚	di4'zhen4'peng2
递变	di4'bian4
递升	di4'sheng1
顶数	ding3'shu4
定调子	ding4'diao4'zi
赌瘾	du3'yin3
端架子	duan1'jia4'zi3
断狱	duan4'yu4
锻工	duan4'gong1
对词	dui4'ci2
对火	dui4'huo3
夺杯	duo2'bei1
二把刀	er4'ba3'dao1
二重奏	er4'chong2'zou4
二一添作五	er4'yi1'tian1'zuo4'wu3
发物	fa1'wu4
发屋	fa1'wu1
烦愁	fan2'chou2
饭勺	fan4'shao2
放暗箭	fang4'an4'jian4
飞盘	fei1'pan2
非职务发明	fei1'zhi2'wu4'fa1'ming2
废品率	fei4'pin3'lv4
奋勉	fen4'mian3
烽燧	feng1'sui4
蜂腰	feng1'yao1
浮皮潦草	fu2'pi2'liao2'cao3
附寄	fu4'ji4
富商大贾	fu4'shang1'da4'gu3
腹股沟	fu4'gu3'gou1
改锥	gai3'zhui1
芥蓝	gai4'lan2
赶趟儿	gan3'tang4'er
